iter	RMSE
0	13.99538285
1	13.92499834
2	13.85192737
3	13.78177948
4	13.70763716
5	13.64081881
6	13.5762039
7	13.50707423
8	13.44395808
9	13.37420854
10	13.30764348
11	13.23867372
12	13.176509
13	13.1151406
14	13.05346127
15	12.99010032
16	12.92487091
17	12.86503717
18	12.80335089
19	12.74347266
20	12.68367439
21	12.62856588
22	12.56913964
23	12.50868599
24	12.45272625
25	12.39626239
26	12.34054584
27	12.29074898
28	12.23442815
29	12.18146144
30	12.12603471
31	12.07156272
32	12.02368738
33	11.97847462
34	11.93395679
35	11.88472757
36	11.8363588
37	11.79046985
38	11.74213904
39	11.69427482
40	11.64795407
41	11.60248386
42	11.55444729
43	11.50972852
44	11.46424253
45	11.42617493
46	11.38152421
47	11.34152167
48	11.29982624
49	11.25454898
50	11.20926312
51	11.17110775
52	11.13490529
53	11.09899242
54	11.06436755
55	11.02284253
56	10.98163445
57	10.9406672
58	10.90517518
59	10.86725213
60	10.83286169
61	10.79279896
62	10.75508615
63	10.71636434
64	10.67820103
65	10.64395984
66	10.61069499
67	10.57398823
68	10.53849708
69	10.50650017
70	10.47306873
71	10.44225119
72	10.40796448
73	10.37506972
74	10.3473008
75	10.31824335
76	10.28447703
77	10.25116812
78	10.22055934
79	10.18965738
80	10.16021754
81	10.12988219
82	10.09523599
83	10.0670826
84	10.04081565
85	10.0147916
86	9.986659904
87	9.960110191
88	9.930183541
89	9.90386076
90	9.880565953
91	9.854947459
92	9.831483956
93	9.806704238
94	9.782081262
95	9.756872465
96	9.732787573
97	9.705696921
98	9.683615803
99	9.658153089
100	9.635768076
101	9.613030816
102	9.590615235
103	9.569346923
104	9.543745538
105	9.522450888
106	9.500620738
107	9.477802638
108	9.458324072
109	9.436392576
110	9.415206688
111	9.391577144
112	9.372052811
113	9.350552896
114	9.331971448
115	9.311691966
116	9.294125823
117	9.274919551
118	9.252382393
119	9.234277819
120	9.210955635
121	9.188716485
122	9.170977254
123	9.149856996
124	9.128088145
125	9.113075609
126	9.093227418
127	9.072510137
128	9.055802333
129	9.039914937
130	9.020446861
131	9.001151553
132	8.9829339
133	8.966692871
134	8.946852909
135	8.926881334
136	8.910684444
137	8.890170816
138	8.873236985
139	8.855003759
140	8.838188866
141	8.824780773
142	8.809124208
143	8.796579727
144	8.784001419
145	8.770209085
146	8.759398336
147	8.746528513
148	8.731471428
149	8.720441096
150	8.706749132
151	8.692194993
152	8.676596732
153	8.665398341
154	8.649481491
155	8.63659317
156	8.62307431
157	8.613293556
158	8.603195786
159	8.590913308
160	8.576964166
161	8.56501774
162	8.552271336
163	8.537342036
164	8.52477004
165	8.511517466
166	8.493866517
167	8.48081472
168	8.465072281
169	8.449361037
170	8.438041678
171	8.426204454
172	8.412844033
173	8.398622984
174	8.389572733
175	8.380072393
176	8.370946956
177	8.359498908
178	8.34856388
179	8.338594368
180	8.327597653
181	8.316861701
182	8.303269232
183	8.29401608
184	8.287148781
185	8.274828479
186	8.26535461
187	8.256047735
188	8.247011322
189	8.23763786
190	8.22955657
191	8.221632789
192	8.212441365
193	8.20410835
194	8.189908795
195	8.18249456
196	8.169547771
197	8.160745848
198	8.148859268
199	8.138573698
200	8.127335434
201	8.118259903
202	8.110359308
203	8.097808119
204	8.089014687
205	8.08202549
206	8.072621602
207	8.064558314
208	8.055431702
209	8.050012112
210	8.038979178
211	8.03151853
212	8.025803832
213	8.019187491
214	8.011032024
215	8.00494071
216	7.994172505
217	7.983663701
218	7.970193916
219	7.962115777
220	7.956501044
221	7.945991865
222	7.935170043
223	7.924116987
224	7.910393033
225	7.902981127
226	7.891925979
227	7.883135759
228	7.877220566
229	7.866509891
230	7.859598666
231	7.85457392
232	7.843229687
233	7.834571303
234	7.824776939
235	7.819592186
236	7.810909875
237	7.803505587
238	7.793799425
239	7.783749666
240	7.774191357
241	7.768757364
242	7.760837405
243	7.755911109
244	7.749038392
245	7.73959787
246	7.73031548
247	7.723019826
248	7.716262081
249	7.710249162
250	7.700621523
251	7.692547291
252	7.683979973
253	7.674566345
254	7.669229103
255	7.665928153
256	7.660139972
257	7.654900523
258	7.645858394
259	7.641758142
260	7.637861702
261	7.630670149
262	7.625928183
263	7.621771734
264	7.61536097
265	7.605710715
266	7.595511621
267	7.592047775
268	7.586932292
269	7.581291667
270	7.573775147
271	7.569323176
272	7.566277761
273	7.559716559
274	7.548849289
275	7.538301374
276	7.53535812
277	7.531821132
278	7.52822571
279	7.520920779
280	7.518266715
281	7.512807087
282	7.506387913
283	7.497167884
284	7.490439625
285	7.481801082
286	7.47787421
287	7.474805848
288	7.469872892
289	7.465607359
290	7.462480501
291	7.458612315
292	7.453818805
293	7.450723122
294	7.446462331
295	7.443843763
296	7.436035198
297	7.425000813
298	7.422177827
299	7.418533724
300	7.413681579
301	7.406884655
302	7.403943098
303	7.396078406
304	7.390718396
305	7.38349696
306	7.375890396
307	7.371376694
308	7.3640095
309	7.359750271
310	7.35514926
311	7.351702383
312	7.343917023
313	7.340489898
314	7.33368276
315	7.327875572
316	7.323755678
317	7.321059055
318	7.315412282
319	7.310382444
320	7.308282724
321	7.306454687
322	7.298211646
323	7.290483679
324	7.284233486
325	7.27990821
326	7.276638524
327	7.270622557
328	7.266915742
329	7.26011423
330	7.253181905
331	7.248161766
332	7.240135719
333	7.232178527
334	7.22722227
335	7.223115977
336	7.217946168
337	7.210276161
338	7.205935116
339	7.199167849
340	7.196011024
341	7.188941018
342	7.184739353
343	7.177123652
344	7.170662505
345	7.167221046
346	7.163828507
347	7.161519725
348	7.159020083
349	7.154321722
350	7.148852995
351	7.146527138
352	7.141847683
353	7.138540805
354	7.136414171
355	7.132812733
356	7.128713996
357	7.120461028
358	7.117215869
359	7.109058157
360	7.101670162
361	7.098545921
362	7.089593577
363	7.087464116
364	7.083969026
365	7.079547273
366	7.076719923
367	7.070316002
368	7.065497285
369	7.058855939
370	7.055579531
371	7.053031553
372	7.05082297
373	7.046190311
374	7.043505665
375	7.036417112
376	7.033191015
377	7.028463295
378	7.026195364
379	7.022440052
380	7.016807489
381	7.009594513
382	7.005960178
383	6.999280382
384	6.996962491
385	6.991769005
386	6.990718259
387	6.985657488
388	6.982952557
389	6.978495891
390	6.975617293
391	6.972344096
392	6.969025338
393	6.961988285
394	6.956913341
395	6.954733996
396	6.951313666
397	6.94857151
398	6.942008301
399	6.934269044
400	6.931391417
401	6.930400576
402	6.92255302
403	6.917201593
404	6.914963193
405	6.907793951
406	6.902165436
407	6.899029275
408	6.897707885
409	6.894778117
410	6.891324338
411	6.886643389
412	6.881809506
413	6.878910233
414	6.875454778
415	6.869291542
416	6.866296189
417	6.863372697
418	6.857617561
419	6.854772737
420	6.849330726
421	6.842639531
422	6.841138578
423	6.834982816
424	6.831451406
425	6.829181619
426	6.824272403
427	6.822847922
428	6.815355568
429	6.808679858
430	6.805438068
431	6.805223367
432	6.803816695
433	6.80175871
434	6.798663219
435	6.796562962
436	6.792111364
437	6.789587666
438	6.786528322
439	6.782228083
440	6.776682248
441	6.770854462
442	6.765193761
443	6.762403254
444	6.759857719
445	6.75634859
446	6.751674958
447	6.750070193
448	6.743474629
449	6.741828742
450	6.735511028
451	6.727817352
452	6.722707596
453	6.721194329
454	6.719201298
455	6.717317568
456	6.715700712
457	6.711631617
458	6.709625776
459	6.706920746
460	6.70125797
461	6.700248617
462	6.69171193
463	6.686844562
464	6.683407189
465	6.678730347
466	6.675362593
467	6.672246763
468	6.668654044
469	6.665490248
470	6.659625574
471	6.65353084
472	6.646810999
473	6.642528156
474	6.638400976
475	6.633121874
476	6.631563245
477	6.625686847
478	6.620128596
479	6.617498138
480	6.615360222
481	6.613338654
482	6.61192055
483	6.610346333
484	6.60490154
485	6.6023173
486	6.597407314
487	6.595533764
488	6.592599952
489	6.586995513
490	6.584056484
491	6.579930323
492	6.576554574
493	6.572151476
494	6.569524989
495	6.564415363
496	6.558363419
497	6.55547538
498	6.55116839
499	6.544992398
500	6.5411972
501	6.538498236
502	6.533515558
503	6.531383059
504	6.528753128
505	6.524600009
506	6.520719719
507	6.517688705
508	6.516631103
509	6.515284364
510	6.512422989
511	6.510438448
512	6.505412305
513	6.504474964
514	6.500106852
515	6.495451142
516	6.49044328
517	6.486658966
518	6.481149942
519	6.477795567
520	6.472345642
521	6.468015451
522	6.463859481
523	6.460317636
524	6.45853753
525	6.455329191
526	6.453754599
527	6.449973349
528	6.448886656
529	6.447410608
530	6.442448217
531	6.438881743
532	6.432181189
533	6.426694126
534	6.42128142
535	6.416385555
536	6.412745491
537	6.410009713
538	6.406186508
539	6.401657881
540	6.398374982
541	6.395742165
542	6.391485804
543	6.388687959
544	6.38367188
545	6.382028077
546	6.379980979
547	6.378056046
548	6.374461644
549	6.369677268
550	6.365194585
551	6.361814863
552	6.35827519
553	6.35501053
554	6.349639032
555	6.345133501
556	6.342407431
557	6.33797742
558	6.335114328
559	6.331505459
560	6.329236261
561	6.324025617
562	6.319726389
563	6.315343428
564	6.31135109
565	6.306841007
566	6.302737215
567	6.300218499
568	6.2962996
569	6.290343819
570	6.287717331
571	6.284904181
572	6.280779086
573	6.279627696
574	6.277802662
575	6.276333587
576	6.272901259
577	6.27052669
578	6.266412434
579	6.261744535
580	6.256489589
581	6.252122645
582	6.250692687
583	6.2490761
584	6.245832576
585	6.242391779
586	6.238198297
587	6.234653497
588	6.230140556
589	6.226429247
590	6.224766869
591	6.222295512
592	6.219794489
593	6.215633419
594	6.211249281
595	6.205734656
596	6.203563959
597	6.199316417
598	6.195196255
599	6.191461955
600	6.187836438
601	6.185479403
602	6.183745863
603	6.18062139
604	6.175213086
605	6.171133136
606	6.169915611
607	6.166204614
608	6.162121134
609	6.159866178
610	6.156058411
611	6.15202641
612	6.149622034
613	6.147398077
614	6.14303938
615	6.141710465
616	6.137797824
617	6.133532912
618	6.130196061
619	6.128493654
620	6.12549059
621	6.124059849
622	6.120098896
623	6.116291367
624	6.113585353
625	6.111342837
626	6.10784642
627	6.107323467
628	6.104314024
629	6.101711109
630	6.097572509
631	6.092302026
632	6.088384659
633	6.084560831
634	6.081104916
635	6.07951021
636	6.07543443
637	6.07203092
638	6.067457861
639	6.063418739
640	6.059865146
641	6.056910519
642	6.053347162
643	6.050966908
644	6.047114888
645	6.044294602
646	6.042643315
647	6.041718997
648	6.040184531
649	6.036480269
650	6.032870952
651	6.030200353
652	6.023957656
653	6.021109027
654	6.017441406
655	6.016691361
656	6.013628251
657	6.010247401
658	6.007868846
659	6.005024271
660	6.003247571
661	5.999378802
662	5.997177488
663	5.993633902
664	5.990914085
665	5.987593749
666	5.984441009
667	5.980938586
668	5.978210249
669	5.974926091
670	5.971472286
671	5.968935875
672	5.966965106
673	5.963777212
674	5.960583181
675	5.95738885
676	5.956078024
677	5.952681769
678	5.949550682
679	5.946572347
680	5.941198418
681	5.937339465
682	5.93365221
683	5.931705791
684	5.929115575
685	5.925721135
686	5.92426025
687	5.920362972
688	5.917123214
689	5.913689469
690	5.910370544
691	5.907819933
692	5.905363303
693	5.902170574
694	5.898850593
695	5.89526441
696	5.892834308
697	5.891417558
698	5.886694045
699	5.883733372
700	5.882670987
701	5.879242611
702	5.876245009
703	5.872615489
704	5.86919869
705	5.865843941
706	5.862823525
707	5.860520362
708	5.856174336
709	5.853542758
710	5.850397342
711	5.848263206
712	5.844517407
713	5.842047129
714	5.839292187
715	5.837537848
716	5.83469441
717	5.831637941
718	5.828667245
719	5.826967895
720	5.825061778
721	5.823126099
722	5.821250641
723	5.81807181
724	5.814933937
725	5.811696548
726	5.808074086
727	5.805204894
728	5.804157949
729	5.801217254
730	5.798648815
731	5.795567187
732	5.792642439
733	5.789914907
734	5.787321029
735	5.783479955
736	5.779882663
737	5.777293389
738	5.774979468
739	5.772501304
740	5.769074687
741	5.766319709
742	5.762453593
743	5.759468879
744	5.756625032
745	5.753103852
746	5.751047264
747	5.74819554
748	5.74542755
749	5.742404374
750	5.73979532
751	5.735862562
752	5.733304266
753	5.730800115
754	5.728430773
755	5.726232505
756	5.723569623
757	5.720969012
758	5.718655496
759	5.715856983
760	5.713450315
761	5.71039478
762	5.706668453
763	5.704087727
764	5.701563228
765	5.698661018
766	5.69616565
767	5.693365126
768	5.690805957
769	5.688633212
770	5.685662775
771	5.682469729
772	5.678999306
773	5.676048279
774	5.674782067
775	5.672349219
776	5.669874025
777	5.666732939
778	5.663346831
779	5.660707038
780	5.656980367
781	5.654859032
782	5.652621242
783	5.649194486
784	5.646881024
785	5.644353327
786	5.64176401
787	5.639512989
788	5.636225846
789	5.633002312
790	5.631051907
791	5.629035096
792	5.626030373
793	5.623764146
794	5.620919083
795	5.618416946
796	5.615752638
797	5.613098469
798	5.611471763
799	5.609176597
800	5.607213794
801	5.604658169
802	5.602227594
803	5.599531403
804	5.597304286
805	5.594064531
806	5.591277554
807	5.588397812
808	5.585905931
809	5.583160198
810	5.579637535
811	5.575611639
812	5.572773491
813	5.570219092
814	5.568385526
815	5.565670484
816	5.56255305
817	5.560237819
818	5.557210826
819	5.555310123
820	5.553001823
821	5.551067197
822	5.547941868
823	5.545812754
824	5.543215164
825	5.540442061
826	5.538337012
827	5.535894228
828	5.533142071
829	5.530647085
830	5.527440711
831	5.52483342
832	5.522471435
833	5.520493088
834	5.517875916
835	5.515687554
836	5.513110418
837	5.511994736
838	5.509776574
839	5.507280152
840	5.505161155
841	5.503051322
842	5.50142738
843	5.49971185
844	5.497591664
845	5.495927461
846	5.493571057
847	5.491434309
848	5.489932798
849	5.488803399
850	5.485584599
851	5.484086111
852	5.481696113
853	5.479750454
854	5.477476235
855	5.475314028
856	5.472186867
857	5.470289058
858	5.468363245
859	5.465166274
860	5.46122123
861	5.459016488
862	5.45635304
863	5.453675832
864	5.45170121
865	5.448635757
866	5.444980954
867	5.443212252
868	5.442350543
869	5.439035181
870	5.436195572
871	5.434553946
872	5.432728555
873	5.430678517
874	5.428615883
875	5.426900702
876	5.424113142
877	5.422533895
878	5.420574449
879	5.418622977
880	5.416717163
881	5.414553194
882	5.412960914
883	5.410877124
884	5.407242165
885	5.405086726
886	5.403007495
887	5.400873156
888	5.399137466
889	5.396992603
890	5.394790999
891	5.392972726
892	5.390688119
893	5.388140946
894	5.386002313
895	5.383921647
896	5.381578759
897	5.379100513
898	5.377178577
899	5.374986143
900	5.373049799
901	5.370328235
902	5.36833582
903	5.366164913
904	5.363724941
905	5.360951156
906	5.358111007
907	5.356192696
908	5.353173946
909	5.349712694
910	5.347979687
911	5.347672774
912	5.344897136
913	5.342523007
914	5.340206011
915	5.337361892
916	5.33529809
