iter	RMSE
0	0.7679682779
1	0.7471661587
2	0.7253710457
3	0.7059965848
4	0.6864472014
5	0.6673640182
6	0.6491929506
7	0.6342000402
8	0.619010936
9	0.6039472505
10	0.5899256973
11	0.5763483899
12	0.5636407015
13	0.5475743197
14	0.5333804392
15	0.5212533394
16	0.5090133807
17	0.4999613675
18	0.4892226302
19	0.4788671337
20	0.4689922516
21	0.4610755142
22	0.4530890561
23	0.4453437866
24	0.4372960392
25	0.4297504998
26	0.4235560207
27	0.4158173877
28	0.4072782725
29	0.402802194
30	0.3966786448
31	0.3914982827
32	0.3870898692
33	0.3818932332
34	0.3763559892
35	0.3715116869
36	0.3671949939
37	0.3614218197
38	0.3546969441
39	0.351455106
40	0.3456440273
41	0.3400247003
42	0.3364446765
43	0.3322318514
44	0.3268272478
45	0.320197488
46	0.3149475769
47	0.3117141833
48	0.3080951647
49	0.3029121934
50	0.2986013216
51	0.2943138463
52	0.2912010188
53	0.2863242754
54	0.2832237646
55	0.280156414
56	0.2771733629
57	0.272863944
58	0.2698886474
59	0.2679685045
60	0.2638383461
61	0.2604693751
62	0.2579187275
63	0.2557673736
64	0.2546529876
65	0.2511650054
66	0.2493577268
67	0.2474806614
68	0.2445024699
69	0.2428473888
70	0.241697994
71	0.238535145
72	0.2364361643
73	0.2350986767
74	0.2330028734
75	0.2313788638
76	0.2300458853
77	0.2288725733
78	0.2272506898
79	0.2261691269
80	0.2245932023
81	0.2236085667
82	0.2225443848
83	0.2197648744
84	0.2172575196
85	0.2159662942
86	0.2140595108
87	0.2124742969
88	0.2101097327
89	0.2088279937
90	0.2079580895
91	0.2067966653
92	0.2051870325
93	0.2035749539
94	0.2027048529
95	0.2017810827
96	0.2007298345
97	0.2000843036
98	0.1982120162
99	0.1973725604
100	0.196696944
101	0.195906987
102	0.1953648297
103	0.1947024943
104	0.1926790732
105	0.1920919193
106	0.1913000102
107	0.1901294358
108	0.1891555533
109	0.1879793896
110	0.1870647877
111	0.1855705777
112	0.1848258045
113	0.1833397065
114	0.1828371613
115	0.1821699355
116	0.1811587443
117	0.1805495558
118	0.1800838934
119	0.1791068688
120	0.1779935624
121	0.1775172948
122	0.1768941569
123	0.1763786635
124	0.1760769637
125	0.1754248112
126	0.1749493028
127	0.1745897148
128	0.1740673308
129	0.1734857424
130	0.1724485049
131	0.1720693524
132	0.1716162053
133	0.1707597732
134	0.1703137102
135	0.1698541088
136	0.1693101295
137	0.1683922901
138	0.1681370843
139	0.1678082442
140	0.1675060747
141	0.1671988027
142	0.1666418746
143	0.1662186274
144	0.1658673274
145	0.1655668198
146	0.1647815348
147	0.1643846718
148	0.1641010661
149	0.1633689156
150	0.163010069
151	0.1626854186
152	0.1622303203
153	0.1615818307
154	0.1612698712
155	0.1610425982
156	0.1604653652
157	0.16024821
158	0.1600327831
159	0.1595699594
160	0.1590373464
161	0.1587954554
162	0.1584918551
163	0.1583051612
164	0.1578206662
165	0.1575771727
166	0.1574041722
167	0.1571780788
168	0.1569854359
169	0.156765654
170	0.1564043452
171	0.1561847541
172	0.1558945336
173	0.1554775203
174	0.1551628473
175	0.1549901714
176	0.1545314851
177	0.1543074567
178	0.1540245495
179	0.153824242
180	0.1536115671
181	0.1534247757
182	0.1531609956
183	0.1527952332
184	0.1525766587
185	0.1522382614
186	0.1520453465
187	0.151805413
188	0.1516004107
189	0.1514887986
190	0.1512970306
191	0.1510683278
192	0.1508787458
193	0.1508033171
194	0.1506548349
195	0.1505185225
196	0.1503898607
197	0.1502095228
198	0.1500780994
199	0.1498228343
200	0.1495891601
201	0.1493730813
202	0.1491259252
203	0.1488457875
204	0.1487341819
205	0.1485251587
206	0.1484103434
207	0.1482358753
208	0.1480924956
209	0.1480113049
210	0.1478801396
211	0.1476961454
212	0.147534595
213	0.1474581956
214	0.1473270175
215	0.1471538043
216	0.1470190071
217	0.1469088972
218	0.1467540271
219	0.1464782087
220	0.1462291378
221	0.1460362047
222	0.1459211202
223	0.1457731832
224	0.1456645734
225	0.1455703612
226	0.1454693378
227	0.1453664311
228	0.145201836
229	0.145098351
230	0.1449627914
231	0.1447391651
232	0.1446261002
233	0.1443822703
234	0.1442984147
235	0.1441615592
236	0.1440610337
237	0.1439240285
238	0.1438052254
239	0.1436765753
240	0.1435915487
241	0.1435031092
242	0.1433573918
243	0.1432089987
244	0.1431095076
245	0.1430222257
246	0.1429383954
247	0.1428188595
248	0.1426364375
249	0.1425404165
250	0.1423458319
251	0.1422165724
252	0.1420895889
253	0.1419500076
254	0.1418718696
255	0.1417883287
256	0.1416632021
257	0.1415666266
258	0.1414598034
259	0.141335309
260	0.141234247
261	0.1410443149
262	0.1408903531
263	0.1406822135
264	0.1405553836
265	0.1404649246
266	0.1403112577
267	0.1402290117
268	0.1401102277
269	0.1400016546
270	0.1398767627
271	0.1397517329
272	0.1396514322
273	0.1395391295
274	0.139445999
275	0.139358496
276	0.1392443956
277	0.139175772
278	0.1390598876
279	0.1389875893
280	0.138809873
281	0.1386896474
282	0.1385837414
283	0.1385315043
284	0.1384174267
285	0.1383408187
286	0.1382819469
287	0.1381738731
288	0.1381328548
289	0.1380214108
290	0.1379857172
291	0.1378906235
292	0.1377757101
293	0.1376626283
294	0.1375719227
295	0.1373774883
296	0.1372535741
297	0.1371589164
298	0.1370925648
299	0.1370303931
300	0.1369449793
301	0.1368745811
302	0.1367617252
303	0.1366881715
304	0.1366041151
305	0.1365126889
306	0.1364177168
307	0.1363320719
308	0.1362949846
309	0.1362159968
310	0.136171522
311	0.1360721532
312	0.1359522267
313	0.1359109582
314	0.1358883424
315	0.1357648166
316	0.1356275492
317	0.1355422436
318	0.1354724994
319	0.1353747835
320	0.1353188242
321	0.135268226
322	0.135160862
323	0.1350592988
324	0.1350291997
325	0.1349908095
326	0.134900459
327	0.1348592132
328	0.134792191
329	0.1347658054
330	0.1347429014
331	0.1346786947
332	0.1345972933
333	0.1345656638
334	0.1345496725
335	0.1343523638
336	0.1342323346
337	0.1342114666
338	0.1341871343
339	0.1341056209
340	0.134071528
341	0.1340256008
342	0.1339222318
343	0.1338853299
344	0.1338112974
345	0.1337245774
346	0.1336858911
347	0.1336341351
348	0.1335537505
349	0.1334553167
