iter	MultiClass
0	0.9909023498
1	0.9095301316
2	0.8488683317
3	0.7977934095
4	0.750306749
5	0.7149874574
6	0.6863833517
7	0.6574268161
8	0.6325530748
9	0.6134816538
10	0.5938590576
11	0.5778856372
12	0.5627854054
13	0.5444951409
14	0.5326468053
15	0.5174303928
16	0.5086733534
17	0.4976807382
18	0.4889312197
19	0.4821905795
20	0.4742896714
21	0.4661045863
22	0.4593519971
23	0.4522637345
24	0.4453078647
25	0.4388315073
26	0.4333927847
27	0.4267283268
28	0.420096063
29	0.4151319555
30	0.4099925058
31	0.4033129329
32	0.3990046927
33	0.394831989
34	0.3910871581
35	0.3882446454
36	0.3837031236
37	0.3801191358
38	0.3766336632
39	0.3712433872
40	0.3676076138
41	0.3645191956
42	0.3600195034
43	0.3553859146
44	0.3528701064
45	0.3499281555
46	0.3468108096
47	0.3429812541
48	0.3399773623
49	0.3385535733
50	0.3361733196
51	0.333582084
52	0.330681865
53	0.3286994823
54	0.3264133491
55	0.3252195176
56	0.3232468948
57	0.3218288835
58	0.3197427298
59	0.3175633792
60	0.3155984713
61	0.3138918665
62	0.3109808881
63	0.3089622488
64	0.3072829383
65	0.305347223
66	0.3037010524
67	0.3013302926
68	0.2996764327
69	0.2975403192
70	0.2952477691
71	0.2932534253
72	0.2916826039
73	0.2902062876
74	0.2889146299
75	0.2877700332
76	0.2858800078
77	0.284379144
78	0.2832265511
79	0.2823135494
80	0.2806487165
81	0.2790252634
82	0.2776257626
83	0.2762164727
84	0.2753080427
85	0.2737963074
86	0.2719413341
87	0.2707717854
88	0.269872154
89	0.2690184262
90	0.2680857765
91	0.2667763165
92	0.2651214029
93	0.264311812
94	0.2631921053
95	0.2622049667
96	0.2615244722
97	0.2608041084
98	0.2600033608
99	0.2591070238
100	0.2580401013
101	0.2565519987
102	0.2550361877
103	0.2542221733
104	0.252407849
105	0.2512436363
106	0.2501880424
107	0.2489981642
108	0.2480625122
109	0.2472668801
110	0.246541777
111	0.24556453
112	0.2442111299
113	0.2432538342
114	0.2422316723
115	0.2412385117
116	0.2402022265
117	0.2389263842
118	0.2377664054
119	0.236691124
120	0.2359137167
121	0.2348301695
122	0.2342496259
123	0.2337681392
124	0.2329934498
125	0.2318341765
126	0.2308783658
127	0.229995658
128	0.2291207716
129	0.2281617166
130	0.2275513571
131	0.226820663
132	0.225997237
133	0.2249216816
134	0.2237403355
135	0.2233182812
136	0.2225377483
137	0.2215720357
138	0.22084669
139	0.2203020426
140	0.219305562
141	0.2181722564
142	0.2175021737
143	0.2171037777
144	0.2165093345
145	0.2160987935
146	0.2155210808
147	0.2149468748
148	0.2142779938
149	0.2134427585
150	0.2124118438
151	0.2117869145
152	0.2111045662
153	0.2104735203
154	0.2097585276
155	0.2088516014
156	0.2083084482
157	0.2076268055
158	0.2071209715
159	0.2066406416
160	0.2060872277
161	0.2051663527
162	0.2045495916
163	0.2040747315
164	0.2037706034
165	0.2032696298
166	0.2027689492
167	0.202068602
168	0.2017289325
169	0.2014619516
170	0.2010531606
171	0.2005135747
172	0.2000633473
173	0.1993188522
174	0.1986052874
175	0.1981691366
176	0.1973856754
177	0.1968827048
178	0.1960339475
179	0.195267829
180	0.1947282706
181	0.1939006295
182	0.1935204259
183	0.1931764283
184	0.1924372687
185	0.191783011
186	0.1913888866
187	0.1905631364
188	0.1902262418
189	0.189531286
190	0.1890481763
191	0.1885783687
192	0.1880670957
193	0.1876062186
194	0.1868575287
195	0.1864215481
196	0.1860219387
197	0.1855538245
198	0.1851886418
199	0.1844894201
200	0.1841464957
201	0.1838456823
202	0.183578955
203	0.1833334577
204	0.1831568434
205	0.1825170452
206	0.1819764535
207	0.181770537
208	0.1815572698
209	0.1812264643
210	0.1807785234
211	0.1802976045
212	0.180049959
213	0.1796087314
214	0.1794075653
215	0.1791066467
216	0.1787950923
217	0.1785494785
218	0.1780989172
219	0.1778022286
220	0.1775919321
221	0.1772635221
222	0.1770047579
223	0.1767832946
224	0.1765338911
225	0.1759943129
226	0.175762741
227	0.1755235418
228	0.1750861427
229	0.1746709089
230	0.1743849082
231	0.1739399097
232	0.1734637556
233	0.1732031675
234	0.1727421163
235	0.1725023204
236	0.1721863715
237	0.1716779383
238	0.1711154996
239	0.1706581186
240	0.1700386505
241	0.1694453512
242	0.1691911869
243	0.1686166446
244	0.1684553047
245	0.1682282564
246	0.1678169334
247	0.1676283867
248	0.167165259
249	0.1669067523
250	0.1666745522
251	0.1665073466
252	0.1663773559
253	0.1659854202
254	0.1656065577
255	0.16544254
256	0.1653539467
257	0.1650350622
258	0.1647059943
259	0.1643515498
260	0.1638497064
261	0.1632470498
262	0.1628830743
263	0.1624695034
264	0.1622412153
265	0.1619586515
266	0.1615913373
267	0.1613829439
268	0.1610564846
269	0.1608774374
270	0.1605899886
271	0.1603865517
272	0.1601443392
273	0.1599414902
274	0.1597468325
275	0.1593540603
276	0.1592214738
277	0.1587326973
278	0.1585482468
279	0.1581898148
280	0.1579634991
281	0.1577062897
282	0.1575157597
283	0.1573327598
284	0.1570056023
285	0.1568871312
286	0.1567014528
287	0.1565569066
288	0.1564006328
289	0.1562700883
290	0.1559647158
291	0.1555187912
292	0.1552740277
293	0.1548240207
294	0.1546588632
295	0.1544951242
296	0.1540184457
297	0.1538890824
298	0.1534286727
299	0.1533014547
300	0.1531556368
301	0.1529921277
302	0.1529112481
303	0.1526387813
304	0.1524452689
305	0.1521346323
306	0.1519748617
307	0.1517552804
308	0.15147258
309	0.1510252513
310	0.1508773573
311	0.1506667141
312	0.1505366335
313	0.1503861496
314	0.1502860053
315	0.1501062447
316	0.1499466663
317	0.1497778902
318	0.1495847188
319	0.1494333595
320	0.1492450177
321	0.1489595805
322	0.1485291903
323	0.148406832
324	0.1481993708
